iter	Passed	Remaining
258	37773	84443
259	37926	84313
260	38077	84178
261	38234	84056
262	38383	83917
263	38528	83769
264	38673	83623
265	38826	83491
266	38973	83347
267	39132	83228
268	39286	83101
269	39439	82968
270	39590	82832
271	39733	82681
272	39878	82533
273	40039	82417
274	40192	82285
275	40350	82162
276	40494	82012
277	40652	81889
278	40830	81806
279	41001	81709
280	41166	81601
281	41333	81493
282	41503	81393
283	41714	81372
284	41904	81309
285	42106	81267
286	42318	81245
287	42510	81183
288	42695	81106
289	42891	81049
290	43060	80942
291	43240	80853
292	43407	80741
293	43586	80649
294	43766	80559
295	43934	80447
296	44110	80348
297	44297	80270
298	44475	80175
299	44664	80098
300	44858	80029
301	45030	79921
302	45198	79805
303	45360	79679
304	45518	79544
305	45670	79400
306	45823	79257
307	45995	79148
308	46156	79019
309	46329	78909
310	46502	78800
311	46670	78681
312	46835	78557
313	46996	78427
314	47172	78321
315	47340	78201
316	47490	78052
317	47651	77921
318	47810	77785
319	47962	77639
320	48127	77513
321	48292	77388
322	48462	77270
323	48618	77128
324	48772	76985
325	48919	76831
326	49075	76689
327	49227	76542
328	49371	76383
329	49497	76195
330	49641	76036
331	49777	75864
332	49922	75708
333	50067	75550
334	50185	75352
335	50328	75193
336	50475	75038
337	50621	74883
338	50766	74726
339	50924	74589
340	51075	74441
341	51226	74293
342	51379	74147
343	51529	73998
344	51677	73846
345	51820	73686
346	51968	73534
347	52116	73382
348	52264	73229
349	52426	73097
350	52584	72959
351	52737	72813
352	52892	72670
353	53044	72524
354	53191	72370
355	53347	72228
356	53502	72085
357	53666	71954
358	53820	71810
359	53982	71676
360	54145	71543
361	54311	71415
362	54469	71275
363	54629	71138
364	54790	71003
365	54950	70864
366	55113	70731
367	55267	70585
368	55424	70444
369	55588	70312
370	55753	70180
371	55899	70024
372	56052	69877
373	56207	69733
374	56352	69576
375	56499	69422
376	56639	69259
377	56784	69102
378	56937	68955
379	57093	68813
380	57246	68665
381	57393	68511
382	57540	68357
383	57693	68211
384	57844	68060
385	58002	67920
386	58170	67789
387	58349	67673
388	58519	67545
389	58670	67396
390	58817	67241
391	58966	67089
392	59121	66943
393	59267	66788
394	59417	66637
395	59560	66479
396	59715	66333
397	59855	66172
398	60008	66024
